"f.bug_id","bug_fix_days_count","c.author","commit_message","f.summary","summary_stemmed","f.description","description_stemmed","m.Name","m.AvgCyclomatic","m.AvgCyclomaticModified","m.AvgCyclomaticStrict","m.AvgEssential","m.AvgLine","m.AvgLineBlank","m.AvgLineCode","m.AvgLineComment","m.CountDeclClass","m.CountDeclClassMethod","m.CountDeclClassVariable","m.CountDeclExecutableUnit","m.CountDeclFunction","m.CountDeclInstanceMethod","m.CountDeclInstanceVariable","m.CountDeclMethod","m.CountDeclMethodDefault","m.CountDeclMethodPrivate","m.CountDeclMethodProtected","m.CountDeclMethodPublic","m.CountLine","m.CountLineBlank","m.CountLineCode","m.CountLineCodeDecl","m.CountLineCodeExe","m.CountLineComment","m.CountSemicolon","m.CountStmt","m.CountStmtDecl","m.CountStmtExe","m.MaxCyclomatic","m.MaxCyclomaticModified","m.MaxCyclomaticStrict","m.MaxEssential","m.MaxNesting","m.RatioCommentToCode","m.SumCyclomatic","m.SumCyclomaticModified","m.SumCyclomaticStrict","m.SumEssential","d.Severity"
"10526","3083","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=10526 Add alwaysUseSession option to authenticators","Bug 10526  Authenticators do not always cache the Principal","authent alway cach princip","Once a user is authenticated a Principal object is supposed to be cached for 
the duration of the user's session. This is especially important when using 
JDBCRealm or JNDIRealm to reduce the load on external authentication services.

Most authenticators (BasicAuthenticator, SSLAuthenticator and 
DigestAuthenticator) call AuthenticatorBase.register()to cache the Principal. 
However register() does nothing if a session object does not already exist, so 
caching does not occur when the application does not create a session object 
itself. The problem can be seen by setting a security constraint on tomcat-docs 
and then browsing the Tomcat documentation - the external authentication 
service is hit on every request.

The problem does not occur with form based login, because FormAuthenticator 
caches the Principal itself and creates a new session if necessary to do it.

Probably the best fix would be to change AuthenticatorBase.register() to create 
a new session by calling getSession(request, true) instead of getSession
(request, false). However, perhaps there is a reason why this is not being 
done - though if so I cannot see what it is.

An alternative is to change the concrete authentication classes to make sure a 
session exists before calling register(), e.g.

--- BasicAuthenticator.java     23 Mar 2002 17:52:16 -0000      1.12
+++ BasicAuthenticator.java     6 Jul 2002 12:46:30 -0000
@@ -160,6 +160,7 @@
         String password = parsePassword(authorization);
         principal = context.getRealm().authenticate(username, password);
         if (principal != null) {
+           Session session = getSession(request, true);
             register(request, response, principal, Constants.BASIC_METHOD,
                      username, password);
             return (true);

Similar patches would be required for SSLAuthenticator and DigestAuthenticator 
of course.","user authent princip object suppos cach durat user session especi import use realm jdbcrealm realm jndirealm reduc load extern authent servic authent basic authent basicauthent authent sslauthent digest authent digestauthent call authent base authenticatorbas regist cach princip howev regist noth session object alreadi exist cach occur applic creat session object problem seen set secur constraint tomcat doc tomcatdoc brows tomcat document extern authent servic hit everi request problem occur form base login form authent formauthent cach princip creat new session necessari probabl best fix would chang authent base authenticatorbas regist creat new session call get session getsess request true instead get session getsess request fals howev perhap reason done though cannot see altern chang concret authent class make sure session exist call regist basic authent basicauthent java mar basic authent basicauthent java jul string password pars password parsepassword author princip context get realm getrealm authent usernam password princip null session session get session getsess request true regist request respons princip constant basic method usernam password return true similar patch would requir authent sslauthent digest authent digestauthent cours","""java/org/apache/catalina/authenticator/AuthenticatorBase.java""","2","2","3","1","19","2","10","6","1","0","8","29","31","31","11","31","0","0","6","25","845","154","368","123","216","325","172","256","101","155","29","29","33","8","5","1","83","83","92","42","enhancement"
"10972","3071","Mark Emlyn David Thomas","https://issues.apache.org/bugzilla/show_bug.cgi?id=10972 Improve error message if the className attribute is missing on an element in server.xml where it is required.","Bug 10972  <Realm> without className in server.xml produces NullPointerException","realm without class name classnam server xml produc null pointer except nullpointerexcept","If the className attribute is not included with the <Realm> tag in server.xml, 
the server dies with a cryptic NullPointerException.  It would be nice if it 
produced a more meaningful error message (like ""Missing className attribute for 
<Realm> tag"").","class name classnam attribut includ realm tag server xml server cryptic null pointer except nullpointerexcept would nice produc meaning error messag like miss class name classnam attribut realm tag","""java/org/apache/catalina/startup/Catalina.java""","2","2","3","1","19","2","14","2","3","0","2","33","33","33","10","33","0","0","9","24","869","176","520","121","366","178","252","351","113","238","13","13","15","10","3","0","96","96","100","44","enhancement"
"10972","3071","Mark Emlyn David Thomas","https://issues.apache.org/bugzilla/show_bug.cgi?id=10972 Improve error message if the className attribute is missing on an element in server.xml where it is required.","Bug 10972  <Realm> without className in server.xml produces NullPointerException","realm without class name classnam server xml produc null pointer except nullpointerexcept","If the className attribute is not included with the <Realm> tag in server.xml, 
the server dies with a cryptic NullPointerException.  It would be nice if it 
produced a more meaningful error message (like ""Missing className attribute for 
<Realm> tag"").","class name classnam attribut includ realm tag server xml server cryptic null pointer except nullpointerexcept would nice produc meaning error messag like miss class name classnam attribut realm tag","""java/org/apache/tomcat/util/digester/Digester.java""","1","1","1","1","17","2","7","8","2","0","2","125","125","125","31","125","1","2","2","120","2786","568","1046","321","570","1178","414","649","243","406","18","18","20","4","4","1","233","233","240","142","enhancement"
"10972","3071","Mark Emlyn David Thomas","https://issues.apache.org/bugzilla/show_bug.cgi?id=10972 Improve error message if the className attribute is missing on an element in server.xml where it is required.","Bug 10972  <Realm> without className in server.xml produces NullPointerException","realm without class name classnam server xml produc null pointer except nullpointerexcept","If the className attribute is not included with the <Realm> tag in server.xml, 
the server dies with a cryptic NullPointerException.  It would be nice if it 
produced a more meaningful error message (like ""Missing className attribute for 
<Realm> tag"").","class name classnam attribut includ realm tag server xml server cryptic null pointer except nullpointerexcept would nice produc meaning error messag like miss class name classnam attribut realm tag","""java/org/apache/tomcat/util/digester/ObjectCreateRule.java""","1","1","1","1","16","2","6","7","1","0","0","7","7","7","2","7","0","0","0","7","185","47","57","24","29","81","25","37","18","19","4","4","4","1","2","1","11","11","11","7","enhancement"
"11117","1994","Filip Hanik","fix regression for bug 11117 while maintaining the no need to proceed and block for comet connections that handle chunked input","Bug 11117  Coyote connector does not correctly deal with large PUT when using chunked transfer encoding","coyot connector correctli deal larg put use chunk transfer encod","I've built a small test servlet (included below) that shows this behaviour.

If I upload data to tomcat (configured to use the HTTP/1.1 Coyote connector)
using a chunked transfer-encoding on a PUT, then the result (i.e. what I read
using the servlet's request.getInputStream() is corrupted.

This _only_ happens on large PUTs (it happens every time I tried it (about 10)
on a large PUT - I was testing with something around 700 kB, and another thing
of about 1 MB, but does NOT always corrupt it in the same way. I did not see any
corruption on small files (~50 kB and smaller), though I didn't test this
extensively.

The total length of the data read is exactly correct (712080 bytes in my first
test). At the first point of corruption in the file, a chunk header appears in
the output (""\r\n1000\r\n"") followed by correct data from about 700 bytes later
on, then a second copy (in the correct place, I think) of the corrupt data (i.e.
correct data, followed by the chunk header, followed by some data repeated, the
second instance of which is in the correct place - so the first instance is
being produced _instead_ of the correct data for that point in the input).

Test servlet follows:

import java.io.*;

import javax.servlet.*;
import javax.servlet.http.*;

public class Test extends HttpServlet
{

    public void doPut(HttpServletRequest req, HttpServletResponse res)
                throws ServletException, IOException
    {
        FileOutputStream fos = new FileOutputStream(""/tmp/servlet-out"");

        InputStream is = req.getInputStream();

        byte buf[] = new byte[2000];
        int ret;

        while((ret = is.read(buf)) > 0) {
            fos.write(buf, 0, ret);
        }

        fos.close();
        is.close();

        PrintWriter pw = res.getWriter();
        pw.println(""Done"");
        pw.flush();
        pw.close();
    }
}","built small servlet includ show behaviour upload data tomcat configur use http coyot connector use chunk transfer encod transferencod put result read use servlet request get input stream getinputstream corrupt happen larg put happen everi time tri larg put test someth around kb anoth thing mb alway corrupt way see corrupt small file kb smaller though didn extens total length data read exactli correct byte first first point corrupt file chunk header appear output n1000 follow correct data byte later second copi correct place think corrupt data correct data follow chunk header follow data repeat second instanc correct place first instanc produc instead correct data point input servlet follow import java import javax servlet import javax servlet http public class extend http servlet httpservlet public void do put doput http servlet request httpservletrequest req http servlet respons httpservletrespons re throw servlet except servletexcept except ioexcept file output stream fileoutputstream fo new file output stream fileoutputstream tmp servlet out servletout input stream inputstream req get input stream getinputstream byte buf new byte int ret ret read buf fo write buf ret fo close close print writer printwrit pw re get writer getwrit pw println done pw flush pw close","""java/org/apache/coyote/http11/filters/ChunkedInputFilter.java""","3","3","3","2","19","3","11","4","1","0","2","11","11","11","8","11","0","0","4","7","350","96","147","44","92","108","74","110","37","73","12","12","12","11","3","1","35","35","35","24","major"
"13731","2982","Mark Emlyn David Thomas","https://issues.apache.org/bugzilla/show_bug.cgi?id=13731 Make variables in <code>_jspService()</code> method final where possible.","Bug 13731  Final request, response, session and other variables.","final request respons session variabl","Provide a capability to declare request, response, session and other variables 
in jspService function as final. As tunable feature, just like others, in 
tomcat`s web.xml file.

Why need this feature? To use request, response, session variables in anonymous 
implementations of classes. For example - declaration of iterator through 
elements, which includes some other JSP file (statically). And usage of this 
iterator in other JSP file.","provid capabl declar request respons session variabl jsp servic jspservic function final tunabl featur like other tomcat web xml file need featur use request respons session variabl anonym implement class exampl declar iter element includ jsp file static usag iter jsp file","""java/org/apache/jasper/compiler/Generator.java""","4","4","4","1","36","3","27","5","12","6","5","111","111","105","47","111","11","50","0","50","4258","512","3036","528","2351","737","1837","2334","487","1847","22","22","30","20","5","0","499","493","554","209","enhancement"
"15688","2937","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=15688 Use fully qualified class names to avoid possible naming conflicts JSP 2.2 TCK passes with these changes","Bug 15688  full-qualified names instead of imports","full qualifi fullqualifi name instead import","Hi,

Jasper generated *.java-files that are compiled.
The template for those files is very ""unaesthetic"".

I could demonstrate nice side-effects using a simple
  <%@ page import=""mypackage.Jspfactory"" %>

You should use full qualified names instead of a bunch of import-staments.
For example
  _jspxFactory = JspFactory.getDefaultFactory();
would become
  _jspxFactory = javax.servlet.jsp.JspFactory.getDefaultFactory();
and if you don't already do,
you should use the this-reference where possible.

I don't know what the spec says about that conflict, but it shouldn't be a bad
idea to use full-qualified names instead of imports.","hi jasper gener java file javafil compil templat file unaesthet could demonstr nice side effect sideeffect use simpl page import mypackag jspfactori use full qualifi name instead bunch import stament importsta exampl jspx factori jspxfactori jsp factori jspfactori get default factori getdefaultfactori would becom jspx factori jspxfactori javax servlet jsp jsp factori jspfactori get default factori getdefaultfactori alreadi use thi refer thisrefer possibl know spec say conflict shouldn bad idea use full qualifi fullqualifi name instead import","""java/org/apache/jasper/compiler/Generator.java""","4","4","4","1","36","3","27","5","12","6","5","111","111","105","47","111","11","50","0","50","4224","508","3008","527","2323","735","1838","2335","487","1848","22","22","30","20","5","0","499","493","554","209","enhancement"
"15688","2937","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=15688 Use fully qualified class names to avoid possible naming conflicts JSP 2.2 TCK passes with these changes","Bug 15688  full-qualified names instead of imports","full qualifi fullqualifi name instead import","Hi,

Jasper generated *.java-files that are compiled.
The template for those files is very ""unaesthetic"".

I could demonstrate nice side-effects using a simple
  <%@ page import=""mypackage.Jspfactory"" %>

You should use full qualified names instead of a bunch of import-staments.
For example
  _jspxFactory = JspFactory.getDefaultFactory();
would become
  _jspxFactory = javax.servlet.jsp.JspFactory.getDefaultFactory();
and if you don't already do,
you should use the this-reference where possible.

I don't know what the spec says about that conflict, but it shouldn't be a bad
idea to use full-qualified names instead of imports.","hi jasper gener java file javafil compil templat file unaesthet could demonstr nice side effect sideeffect use simpl page import mypackag jspfactori use full qualifi name instead bunch import stament importsta exampl jspx factori jspxfactori jsp factori jspfactori get default factori getdefaultfactori would becom jspx factori jspxfactori javax servlet jsp jsp factori jspfactori get default factori getdefaultfactori alreadi use thi refer thisrefer possibl know spec say conflict shouldn bad idea use full qualifi fullqualifi name instead import","""java/org/apache/jasper/compiler/JspUtil.java""","4","4","4","2","21","1","16","4","2","36","6","38","38","2","2","38","2","2","0","34","937","86","646","144","452","205","305","461","129","332","17","17","18","11","4","0","164","156","188","89","enhancement"
"18462","2847","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=18462 Don't merge stdout and stderr internally","Bug 18462  System.err gets overriden to output to System.out","system err get overriden output system","I am using Eclipse to do my development and I am running tomcat 4.1.24 from 
within eclipse. One of the nice features of eclipse is that anything you 
display with System.out comes out in blue and anything you send to System.err 
is displayed in red. However when tomcat is running Catalina overrides 
System.err and makes it point to System.out. This is very inconvinient because 
its much harder to search for severe error messages in a list of millions of 
trivial ones.","use develop run tomcat within one nice featur anyth display system come blue anyth send system err display red howev tomcat run catalina overrid system err make point system inconvini much harder search sever error messag list million trivial one","""java/org/apache/catalina/startup/Catalina.java""","2","2","3","1","19","2","14","2","3","0","2","33","33","33","10","33","0","0","9","24","873","176","524","122","369","178","255","354","114","240","13","13","15","10","3","0","97","97","101","45","enhancement"
"18462","2847","Mark Emlyn David Thomas","Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=18462 Don't merge stdout and stderr internally","Bug 18462  System.err gets overriden to output to System.out","system err get overriden output system","I am using Eclipse to do my development and I am running tomcat 4.1.24 from 
within eclipse. One of the nice features of eclipse is that anything you 
display with System.out comes out in blue and anything you send to System.err 
is displayed in red. However when tomcat is running Catalina overrides 
System.err and makes it point to System.out. This is very inconvinient because 
its much harder to search for severe error messages in a list of millions of 
trivial ones.","use develop run tomcat within one nice featur anyth display system come blue anyth send system err display red howev tomcat run catalina overrid system err make point system inconvini much harder search sever error messag list million trivial one","""java/org/apache/catalina/startup/Embedded.java""","3","3","3","1","18","2","10","5","1","0","3","38","38","38","7","38","0","0","6","32","988","196","456","127","283","337","234","350","124","226","15","15","15","8","4","1","117","117","119","55","enhancement"
